,prices,locations,other
1158,R$ 1.100.000,Graças,4quartos4suítes5banheiros2vagas158m²
1159,R$ 1.100.000,Boa Viagem,"3quartos1suíte1banheiro 2vagas119,28m²"
1160,R$ 1.100.000,Aflitos,4quartos2suítes34banheiros2vagas200m²
1161,R$ 1.100.000,Espinheiro,4quartos1suíte2banheiros2vagas155m²
1162,R$ 1.100.000,Boa Viagem,4quartos1suíte1banheiro 2vagas200m²
1163,R$ 1.100.000,Casa Amarela,4quartos2suítes1banheiro 2vagas136m²
1164,R$ 1.100.000,Boa Viagem,4quartos4banheiros3vagas250m²
1165,R$ 1.130.000,Madalena,4quartos4suítes5banheiros3vagas153m²
1166,R$ 1.150.000,Graças,4quartos2suítes4banheiros2vagas167m²
1167,R$ 1.150.000,Boa Viagem,1quarto1banheiro 2vagas82m²
1168,R$ 1.150.000,Tamarineira,4quartos2suítes3banheiros3vagas217m²
1169,R$ 1.150.000,Rosarinho,3quartos3suítes5banheiros2vagas150m²
1170,R$ 1.150.000,Casa Forte,4quartos2suítes5banheiros2vagas225m²
1171,R$ 1.159.000,Boa Viagem,4quartos2suítes4banheiros2vagas125m²
1172,R$ 1.159.404,Apipucos,4quartos2suítes5banheiros140m²
1173,R$ 1.160.000,Madalena,4quartos2suítes4banheiros2vagas155m²
1174,R$ 1.180.000,Madalena,4quartos1suíte3banheiros2vagas141m²
1175,R$ 1.180.000,Pina,"4quartos2suítes1banheiro 2vagas120,94m²"
1176,R$ 1.190.000,Boa Viagem,4quartos2suítes4banheiros3vagas218m²
1177,R$ 1.198.000,Boa Viagem,4quartos2suítes5banheiros2vagas137m²
1178,R$ 1.200.000,Apipucos,4quartos4suítes6banheiros3vagas204m²
1179,R$ 1.200.000,Casa Forte,4quartos4suítes5banheiros3vagas204m²
1180,R$ 1.200.000,Boa Viagem,4quartos2suítes4banheiros3vagas196m²
1181,R$ 1.200.000,Poço da Panela,4quartos2suítes1banheiro 2vagas139m²
1182,R$ 1.200.000,Graças,4quartos2suítes4banheiros2vagas167m²
1183,R$ 1.200.000,Boa Viagem,3quartos2suítes4banheiros3vagas158m²
1184,R$ 1.200.000,Rosarinho,3quartos3suítes4banheiros3vagas165m²
1185,R$ 1.200.000,Rosarinho,3quartos3suítes4banheiros3vagas165m²
1186,R$ 1.200.000,Torre,4quartos2suítes4banheiros3vagas185m²
1187,R$ 1.200.000,Pina,4quartos3suítes4banheiros152m²
1188,R$ 1.200.000,Apipucos,4quartos2suítes4banheiros2vagas240m²
1189,R$ 1.200.000,Poço da Panela,4quartos2suítes1banheiro 2vagas139m²
1190,R$ 1.200.000,Tamarineira,4quartos4suítes4banheiros3vagas275m²
1191,R$ 1.200.000,Casa Amarela,4quartos4suítes2banheiros3vagas307m²
1192,R$ 1.200.000,Madalena,4quartos2suítes1banheiro 2vagas141m²
1193,R$ 1.200.000,Casa Forte,4quartos3suítes4banheiros2vagas225m²
1194,R$ 1.200.000R$ 4.000/mês,Boa Viagem,3quartos1suíte1banheiro 2vagas350m²
1195,R$ 1.200.000R$ 4.000/mês,Boa Viagem,3quartos1suíte1banheiro 2vagas350m²
1196,R$ 1.200.679,Santo Amaro,"4quartos4suítes5banheiros3vagas173,50m²"
1197,R$ 1.201.303,Encruzilhada,"4quartos2suítes3banheiros2vagas149,50m²"
1198,R$ 1.210.000,Torre,4quartos4suítes1banheiro 3vagas208m²
1199,R$ 1.215.375,Encruzilhada,"4quartos2suítes3banheiros2vagas149,50m²"
1200,R$ 1.231.000,Boa Viagem,4quartos2suítes1banheiro 2vagas132m²
1201,R$ 1.250.000,Apipucos,4quartos4suítes6banheiros3vagas204m²
1202,R$ 1.250.000,Apipucos,4quartos4suítes5banheiros3vagas204m²
1203,R$ 1.250.000,Apipucos,4quartos4suítes6banheiros4vagas247m²
1204,R$ 1.250.000,Encruzilhada,4quartos2suítes5banheiros3vagas160m²
1205,R$ 1.250.000,Apipucos,4quartos4suítes6banheiros3vagas204m²
1206,R$ 1.250.000,Madalena,4quartos1suíte1banheiro 3vagas297m²
1207,R$ 1.250.000,Apipucos,4quartos4suítes6banheiros3vagas204m²
1208,R$ 1.250.000,Monteiro,4quartos4suítes5banheiros3vagas204m²
1209,R$ 1.250.000,Ilha do Retiro,4quartos4suítes1banheiro 3vagas166m²
1210,R$ 1.256.000,Boa Viagem,4quartos3suítes5banheiros2vagas135m²
1211,R$ 1.259.652,Santo Amaro,4quartos4suítes5banheiros3vagas176m²
1212,R$ 1.263.998,Santo Amaro,4quartos4suítes5banheiros3vagas176m²
1213,R$ 1.280.000,Boa Viagem,4quartos2suítes4banheiros2vagas136m²
1214,R$ 1.290.000,Pina,"3quartos1suíte4banheiros2vagas266,12m²"
1215,R$ 1.290.000,Pina,"3quartos1suíte4banheiros2vagas266,12m²"
1216,R$ 1.290.000,Torre,4quartos4suítes2banheiros3vagas208m²
1217,R$ 1.290.000,Santo Amaro,4quartos4suítes6banheiros3vagas173m²
1218,R$ 1.290.000,Boa Vista,4quartos4suítes5banheiros4vagas174m²
1219,R$ 1.300.000,Casa Forte,4quartos2suítes3banheiros3vagas188m²
1220,R$ 1.300.000,Ilha do Retiro,4quartos3suítes5banheiros3vagas201m²
1221,R$ 1.300.000,Aflitos,4quartos2suítes4banheiros3vagas210m²
1222,R$ 1.300.000,Torre,4quartos4suítes1banheiro 3vagas208m²
1223,R$ 1.300.000R$ 4.000/mês,Ilha do Retiro,4quartos3suítes1banheiro 3vagas225m²
1224,R$ 1.350.000,Apipucos,"4quartos4suítes5banheiros3vagas171,80m²"
1225,R$ 1.350.000,Torre,4quartos4suítes5banheiros3vagas208m²
1226,R$ 1.350.000,Torre,4quartos4suítes6banheiros3vagas208m²
1227,R$ 1.350.000,Casa Forte,4quartos4suítes6banheiros3vagas197m²
1228,R$ 1.350.000,Boa Viagem,4quartos3suítes1banheiro 2vagas172m²
1229,R$ 1.350.000Preço de locaçãoSob consulta,Boa Viagem,4quartos2suítes4banheiros2vagas213m²
1230,R$ 1.380.000,Boa Viagem,4quartos1suíte1banheiro 2vagas236m²
1231,R$ 1.389.150,Pina,"4quartos3suítes5banheiros2vagas152,40m²"
1232,R$ 1.390.000,Boa Viagem,3quartos2suítes1banheiro 2vagas190m²
1233,R$ 1.390.000R$ 3.750/mês,Apipucos,4quartos4suítes5banheiros3vagas204m²
1234,R$ 1.399.281,Boa Viagem,4quartos3suítes5banheiros3vagas163m²
1235,R$ 1.400.000,Monteiro,4quartos3suítes1banheiro 4vagas216m²
