,prices,locations,other
211,R$ 660.964,"Recife, Parnamirim",3 quartos | 94m² | 2 vagas
212,R$ 630.000,"Recife, Dois Irmãos",3 quartos | 105m² | 2 vagas
213,R$ 380.000,"Recife, Casa Amarela",3 quartos | 74m² | Condomínio: R$ 580 | 2 vagas
214,R$ 189.980,"Recife, Caxangá",2 quartos | 46m² | Condomínio: R$ 0 | 1 vaga
215,R$ 252.000,"São Lázaro, Panelas, São Lázaro",2 quartos | 72m² | 1 vaga
216,R$ 122.000,"Paulista, Jardim Maranguape",2 quartos | 42m² | 1 vaga
217,R$ 390.000,"Recife, Encruzilhada",3 quartos | 116m² | Condomínio: R$ 850 | 1 vaga
218,R$ 190.000,"Paulista, Centro",3 quartos | 74m² | 1 vaga
219,R$ 450.164,"Recife, Campo Grande",3 quartos | 126m² | 2 vagas
220,R$ 191.000,"Paulista, Centro",3 quartos | 76m² | 1 vaga
221,R$ 600.000R$ 630.000,"Jaboatão dos Guararapes, Piedade",3 quartos | 100m² | Condomínio: R$ 900 | 2 vagas
222,R$ 160.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 60m² | Condomínio: R$ 0 | 1 vaga
223,R$ 559.000,"Olinda, Casa Caiada",3 quartos | 127m² | Condomínio: R$ 692 | 2 vagas
224,R$ 430.000,"Jaboatão dos Guararapes, Candeias",3 quartos | 81m² | Condomínio: R$ 450 | 2 vagas
225,R$ 379.000,"Recife, Torreão",2 quartos | 56m² | Condomínio: R$ 450 | 1 vaga
226,R$ 170.000,"Paulista, Jardim Paulista",3 quartos | 64m² | 1 vaga
227,R$ 584.999,"Recife, Boa Viagem",3 quartos | 80m² | 2 vagas
228,R$ 180.000,"Paulista, Janga",2 quartos | 56m² | Condomínio: R$ 0 | 1 vaga
229,R$ 585.000,"Recife, Boa Viagem",3 quartos | 80m² | 2 vagas
230,R$ 460.000,"Recife, Boa Viagem",2 quartos | 56m² | Condomínio: R$ 0 | 1 vaga
231,R$ 450.000,"Recife, Boa Viagem",2 quartos | 53m² | Condomínio: R$ 673 | 1 vaga
232,R$ 210.000,"Recife, Iputinga",3 quartos | 92m² | Condomínio: R$ 0 | 1 vaga
233,R$ 330.000,Recife,3 quartos | 1 vaga
234,R$ 240.000,"Recife, Pina",3 quartos | 80m² | Condomínio: R$ 240 | 1 vaga
235,R$ 340.122,"Recife, Encruzilhada",2 quartos | 68m² | 1 vaga
236,R$ 380.000,"Recife, Dois Irmãos",3 quartos | 70m² | Condomínio: R$ 480 | 1 vaga
237,R$ 750.012,"Recife, Espinheiro",3 quartos | 134m² | Condomínio: R$ 1 | 3 vagas
238,R$ 750.012,"Recife, Boa Viagem",4 quartos | 132m² | Condomínio: R$ 1 | 1 vaga
239,R$ 147.490,"Jaboatão dos Guararapes, Sucupira",2 quartos | 42m² | Condomínio: R$ 0 | 1 vaga
240,R$ 870.083,"Recife, Boa Viagem",4 quartos | 182m² | 2 vagas
241,R$ 240.000R$ 260.000,"Recife, Tamarineira",3 quartos | 116m² | Condomínio: R$ 385 | 1 vaga
